study_hours,attendance_percentage,previous_exam_score,final_exam_score
7,77,58,87
4,51,87,83
8,91,55,101
5,94,42,74
7,55,59,87
3,77,63,74
7,77,72,95
8,93,63,100
5,93,50,72
4,69,88,77
8,79,47,88
8,60,75,91
3,77,77,76
6,74,79,89
5,88,59,71
2,82,74,73
8,50,87,96
6,76,64,85
2,62,74,61
5,90,64,82
1,52,68,62
6,88,57,85
9,55,85,106
1,57,57,44
3,76,41,70
7,58,74,98
4,86,55,80
9,82,80,113
3,91,75,79
5,93,72,91
3,73,43,63
7,64,72,87
5,81,53,73
9,81,60,90
7,73,87,96
2,90,59,74
4,98,47,71
9,98,46,95
2,61,42,50
9,88,56,91
5,51,72,81
2,52,87,75
4,98,51,76
7,86,61,99
8,98,61,93
3,66,85,86
1,98,69,65
4,51,77,67
2,51,77,62
8,77,84,114
4,72,47,65
2,86,66,64
6,81,66,80
6,82,73,90
4,50,60,55
6,68,69,78
2,51,72,69
2,93,67,78
4,75,86,84
8,81,72,97
7,55,44,73
9,81,87,124
8,53,58,86
5,60,43,69
2,66,74,65
5,87,88,95
8,73,56,93
9,54,83,103
9,83,67,93
1,55,69,62
9,71,68,97
7,60,85,106
9,97,45,100
8,65,74,96
1,82,80,71
8,58,76,94
8,55,63,85
3,65,68,69
1,78,88,76
8,52,85,95
3,69,70,67
3,85,74,75
1,68,72,66
5,75,60,84
7,52,71,87
9,68,62,99
7,69,72,88
9,81,42,94
8,56,57,88
2,90,64,65
1,82,81,61
7,89,70,90
7,88,42,79
8,67,79,105
5,89,85,101
3,50,63,59
8,60,89,100
6,77,71,89
3,74,86,80
1,99,61,69
3,72,62,64
5,80,41,74
3,79,66,70
1,91,81,77
5,84,41,69
7,56,65,81
7,65,56,92
9,75,79,112
3,97,72,71
7,98,48,86
1,51,82,67
4,50,87,72
4,97,78,91
5,61,68,80
7,54,81,88
7,86,65,93
4,81,74,70
7,58,89,105
3,90,64,72
6,84,63,90
